date,team,opponent,is_home,xg,xgot,xa,possession_pct,total_shots,shots_on_target,shots_off_target,blocked_shots,shots_inside_box,shots_outside_box,big_chances,corners,passes,long_passes,final_third_passes,crosses,fouls,tackles,duels_won,clearances,interceptions,goalkeeper_saves,xgot_faced,goals_prevented,pass_accuracy
2024-06-09,Canada,France,1,1.27,,,50.0,13.0,4.0,6.0,3.0,,,,7.0,540.0,,,,18.0,,,,,0.0,,,89.25925925925927
2021-06-08,Cape Verde,Senegal,1,,,,50.0,11.0,6.0,5.0,,,,,4.0,,,,,12.0,,,,,0.0,,,
2022-01-25,Cape Verde,Senegal,1,,,,64.0,16.0,4.0,7.0,5.0,,,,10.0,387.0,,,,12.0,,,,,1.0,,,83.20413436692506
2024-03-26,Chile,France,1,1.92,,,56.0,14.0,4.0,7.0,3.0,,,,3.0,652.0,,,,10.0,,,,,2.0,,,93.25153374233128
2023-06-16,Colombia,Iraq,1,,,,67.0,7.0,1.0,4.0,2.0,,,,3.0,,,,,10.0,,,,,1.0,,,
2021-03-26,Congo,Senegal,1,,,,53.0,5.0,1.0,4.0,,,,,3.0,,,,,,,,,,0.0,,,
2021-11-14,Congo,Senegal,1,,,,57.0,14.0,7.0,7.0,,,,,6.0,,,,,,,,,,2.0,,,
2025-08-12,Congo,Senegal,1,1.2,0.93,1.36,64.0,11.0,4.0,3.0,4.0,8.0,3.0,2.0,6.0,447.0,81.0,125.0,21.0,21.0,15.0,74.0,14.0,8.0,2.0,0.73,-0.27,74.72035794183445
2022-03-25,Cote d Ivoire,France,0,,,,48.0,9.0,4.0,3.0,2.0,,,,5.0,519.0,,,,20.0,,,,,4.0,,,86.89788053949904
2023-01-14,Cote d Ivoire,Senegal,1,,,,48.0,12.0,3.0,6.0,3.0,,,,5.0,354.0,,,,16.0,,,,,4.0,,,69.2090395480226
2024-01-29,Cote d Ivoire,Senegal,1,1.0,,,43.0,13.0,4.0,7.0,2.0,,,,6.0,434.0,,,,25.0,,,,25.0,3.0,,,78.3410138248848
2022-06-06,Croatia,France,1,,,,50.0,9.0,5.0,4.0,0.0,,,,4.0,574.0,,,,9.0,,,,,4.0,,,91.63763066202091
2022-06-13,Croatia,France,1,,,,52.0,18.0,5.0,6.0,7.0,,,,7.0,623.0,,,,12.0,,,,,2.0,,,89.08507223113965
2025-03-20,Croatia,France,1,1.43,2.28,0.57,38.0,8.0,4.0,2.0,2.0,7.0,1.0,2.0,3.0,369.0,61.0,72.0,9.0,12.0,21.0,51.0,22.0,13.0,6.0,1.33,1.33,80.75880758807588
2025-03-23,Croatia,France,1,2.61,1.77,2.86,62.0,28.0,8.0,14.0,6.0,23.0,5.0,5.0,16.0,863.0,39.0,310.0,48.0,14.0,16.0,81.0,10.0,9.0,0.0,0.0,0.0,90.15063731170336
2023-06-20,Cyprus,Norway,1,3.05,,,65.0,17.0,6.0,5.0,6.0,,,,8.0,673.0,,,,11.0,,,,,2.0,,,91.08469539375929
2023-10-12,Cyprus,Norway,1,0.06,,,32.0,2.0,0.0,2.0,0.0,,,,1.0,309.0,,,,3.0,,,,,5.0,,,75.40453074433657
